"","Row.names","logFC","AveExpr","t","P.Value","adj.P.Val","B","module","type"
"122","HOXD1",1.17374912390403,7.72875901319509,24.1162596703914,5.61216917917374e-114,1.97190682270339e-113,248.556783204346,1,"e"
"123","HOXD10",-1.84516568849024,6.32052913375431,-32.797139541823,9.05574813165037e-192,5.42051209594501e-191,427.682256139985,12,"e"
"124","HOXD11",-1.38090127887741,5.84966964196527,-28.7821267733757,1.85621192220526e-154,8.64169772671114e-154,341.899985495574,12,"e"
"125","HOXD4",-2.25611094923021,6.61165038920373,-36.1519801898283,3.58104544180663e-224,2.72810552748541e-223,502.206901192586,1,"e"
"126","HOXD8",-2.26695696327671,7.06272521850974,-35.0010541442224,5.89917479221141e-213,4.17173711044149e-212,476.331929388155,1,"e"
"127","HOXD9",-2.27730440932874,6.92501630763163,-38.7091037476482,2.17392446374604e-249,2.07016897797634e-248,560.196101328036,1,"e"
"128","HS3ST5",1.32380594420043,8.35583313371315,33.0479890185012,3.69196532817416e-194,2.23383894946567e-193,432.820809327871,2,"a"
"129","HTR1A",2.23035904561158,6.40116635907354,39.3442479967957,1.05275137398737e-255,1.05653371425319e-254,574.8128034374,6,"e"
"130","HTR1B",1.47998125467037,7.34482610375232,30.1703154808698,3.85274238359432e-167,2.01158761211965e-166,370.910337110392,6,"a"
"131","HTR2A",1.53161041088963,8.20150773060574,37.5648296790035,4.63578413332561e-238,3.96406847319068e-237,533.902078370685,6,"e"
"132","HTR3A",1.01181744142985,7.18992071875395,16.29640811367,2.12255507721265e-56,4.49166958258637e-56,116.380010936089,8,"a"
"133","HYDIN",1.4181697781856,8.50916426406758,40.5529013681288,9.13538294135220e-268,9.9421440322768e-267,602.181819480199,2,"a"
"134","IL1R2",-1.13944364911633,8.40033753080253,-24.1834175179821,1.5620149464838e-114,5.51144642169864e-114,249.559322319899,14,"a"
"135","IL1RAPL1",1.69762928417002,7.83082779362453,40.1429278275112,1.14289428961177e-263,1.21233596796793e-262,592.938565479036,8,"c"
"136","IL1RAPL2",1.00309414177939,6.55438433573307,17.2693890889253,1.07714120273319e-62,2.45952132940166e-62,130.918890142202,8,"a"
"137","KCNA1",2.20331769848734,8.32448561048303,40.5677457482149,6.490304290839e-268,7.10964051728507e-267,602.595226169212,5,"e"
"138","KCNC1",1.65016027823595,8.72799940011113,38.4835855278379,3.75922213873783e-247,3.51980799135452e-246,554.697653236519,5,"c"
