"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"KCNMA1",0.198564762385417,12.029563714655,13.2566489807856,1.2830058725444e-38,2.44022685562366e-38,73.9296024927685
"CUL7",-0.101552847519641,11.9805839750742,-13.2479396078519,1.42836870773237e-38,2.69906035032545e-38,73.8086966981478
"FOXP1",-0.115763905368495,12.0065392734604,-13.2372981107112,1.62838719999505e-38,3.05716564644232e-38,73.6759462348128
"NSD1",-0.110342133717954,12.1329548808411,-12.8229981637163,2.49881232905827e-36,4.6612460753587e-36,68.6701170877372
"DYRK1A",-0.113999140187317,12.1561218278026,-12.7879501954048,3.80157438719906e-36,7.04623023359825e-36,68.2543320462002
"MSH3",-0.0745105022231507,11.7365099134284,-12.4612038146984,1.81325737853853e-34,3.33960694401716e-34,64.5947972495148
"RBM4",-0.110753603649808,12.1422914021094,-12.3380370960975,7.61291467342118e-34,1.39330702513557e-33,62.9843010120572
"TCF7L2",-0.0942248835144252,11.8684458217731,-12.3097845544946,1.05616617762855e-33,1.92090223556192e-33,62.7052345522709
"KCNQ4",0.178310460741435,11.5988760364382,12.1234727033527,9.00222582216795e-33,1.62711038152228e-32,60.9744239931904
"MBOAT2",0.155524565730335,12.0214430337817,12.1111791516115,1.03592186026843e-32,1.86082260085255e-32,60.4006181167093
"GGA2",-0.107962185934345,12.1495263577377,-11.9852489875973,4.33396996413762e-32,7.73733288076102e-32,58.9678398899523
"ADCY9",-0.125419414948115,12.008610228407,-11.7820570396822,4.245882413753e-31,7.53385233172026e-31,56.6990620182945
"FOXP2",0.445813902617411,11.2017684765536,11.5588932941851,5.00665665391426e-30,8.77672943547621e-30,55.209137702715
"SPEN",-0.107705017073012,12.2226171218443,-11.6280335476394,2.34127731040226e-30,4.12916180198217e-30,55.0110420856766
"MARK3",-0.107615264083159,12.2028516212789,-11.5373556927539,6.33906180443551e-30,1.10459100903637e-29,54.0198377577428
"UBR1",-0.0885468938192081,11.9899994817005,-11.5099283419469,8.55628816724237e-30,1.48207134325448e-29,53.716629775039
"TRIM23",0.104814242365919,11.9175420759516,11.4007802298022,2.8053506762591e-29,4.83051506977158e-29,52.578361151987
"KDM5B",-0.0934109208385435,12.0063616442813,-11.3698021875395,3.92258024821035e-29,6.71453442487772e-29,52.2033212318683
"HPS3",-0.0860495643774511,11.857284894292,-11.3495632752103,4.88090374169784e-29,8.30609934990686e-29,52.0426244981238
"ACAT1",-0.124181245380755,12.0823681795921,-11.3233613044721,6.47408718247665e-29,1.09532521517483e-28,51.7054370573491
"ARID1B",-0.0972066532424564,12.113604635124,-11.2472864782931,1.4654117445857e-28,2.46494114262682e-28,50.8950298670232
"CHD2",-0.103589858534433,12.2429347799072,-11.0009139038208,1.99784775351283e-27,3.34122813949559e-27,48.3124342612711
"MTMR11",-0.0865117781946008,11.7569980857601,-10.9646383851448,2.92252109153785e-27,4.85973507221437e-27,48.0834847023106
"KMT2E",-0.0950378426725816,12.1716905288472,-10.6500065437744,7.55783585201155e-26,1.24961945053146e-25,44.700900360966
"GTPBP6",-0.0929634184418622,12.125029621322,-10.57156265982,1.67858049905397e-25,2.75970014251247e-25,43.9064270624084
"SATB1",-0.0975387551475389,12.1280090969254,-10.5491966204993,2.10539937529374e-25,3.44197313601392e-25,43.6819439846094
"ZNF226",0.0837376274010477,11.8307924597975,10.5187803701198,2.86315780547987e-25,4.65463084578013e-25,43.4793573218276
"PPP1R9B",0.115671879432085,12.2291054175407,10.5044171624417,3.30958352640645e-25,5.35049336769043e-25,43.241299635198
"MAP3K4",-0.0799097675017947,11.9870732465939,-10.4451261299403,6.00804293717377e-25,9.65933974982081e-25,42.6427995874832
